Time,AV1,AV2,AV3,PUMP1,PT101,LT201,PT301,FT101
0,1,0,1,0,499.97222222222223,0.5006666666666667,399.9861111111111,5.0
0.2,1,0,1,0,499.94444444444446,0.5013333333333334,399.9722222222222,5.0
0.4,1,0,1,0,499.9166666666667,0.5020000000000001,399.95833333333326,5.0
0.6000000000000001,1,0,1,0,499.8888888888889,0.5026666666666668,399.94444444444434,5.0
0.8,1,0,1,0,499.86111111111114,0.5033333333333335,399.93055555555543,5.0
1.0,1,0,1,0,499.83333333333337,0.5040000000000002,399.9166666666665,5.0
1.2,1,0,1,0,499.8055555555556,0.5046666666666669,399.9027777777776,5.0
1.4,1,0,1,0,499.7777777777778,0.5053333333333336,399.8888888888887,5.0
1.5999999999999999,1,0,1,0,499.75000000000006,0.5060000000000003,399.8749999999998,5.0
1.7999999999999998,1,0,1,0,499.7222222222223,0.506666666666667,399.86111111111086,5.0
1.9999999999999998,1,0,1,0,499.6944444444445,0.5073333333333337,399.84722222222194,5.0
2.1999999999999997,1,0,1,0,499.66666666666674,0.5080000000000005,399.83333333333303,5.0
2.4,1,0,1,0,499.63888888888897,0.5086666666666672,399.8194444444441,5.0
2.6,1,0,1,0,499.6111111111112,0.5093333333333339,399.8055555555552,5.0
2.8000000000000003,1,0,1,0,499.5833333333334,0.5100000000000006,399.7916666666663,5.0
3.0000000000000004,1,0,1,0,499.55555555555566,0.5106666666666673,399.7777777777774,5.0
3.2000000000000006,1,0,1,0,499.5277777777779,0.511333333333334,399.76388888888846,5.0
3.400000000000001,1,0,1,0,499.5000000000001,0.5120000000000007,399.74999999999955,5.0
3.600000000000001,1,0,1,0,499.47222222222234,0.5126666666666674,399.73611111111063,5.0
3.800000000000001,1,0,1,0,499.44444444444457,0.5133333333333341,399.7222222222217,5.0
4.000000000000001,1,0,1,0,499.4166666666668,0.5140000000000008,399.7083333333328,5.0
4.200000000000001,1,0,1,0,499.388888888889,0.5146666666666675,399.6944444444439,5.0
4.400000000000001,1,0,1,0,499.36111111111126,0.5153333333333342,399.680555555555,5.0
4.600000000000001,1,0,1,0,499.3333333333335,0.5160000000000009,399.66666666666606,5.0
4.800000000000002,1,0,1,0,499.3055555555557,0.5166666666666676,399.65277777777715,5.0
5.000000000000002,1,0,1,0,499.27777777777794,0.5173333333333343,399.63888888888823,5.0
5.200000000000002,1,0,1,0,499.25000000000017,0.518000000000001,399.6249999999993,5.0
